id,id,name,screen_name,lang,match_name,match_ratio,followers_count,friends_count
71,4576344862,SEHIR Computer Sci.,sehir_cs,en, Sehir Sehir,73,165,36
72,4124637371,Cengiz Kallek,cengizkallek,tr, Cengiz Kallek,96,2248,269
73,327286315,İrem Kılınç,iremk1nc,tr,Irem Kilinc,74,385,172
74,4091594428,Şehir Icebreakers,sehiricebreaker,en,Sehir Icebreakers Club,81,112,53
75,4117422969,ŞEHİR Felsefe Bölümü,SehirFelsefe,tr, ! Felsefe,90,177,44
76,306301606,Mustafa Uğurlu,MustafaUgurlu,tr,Mustafa Gurel,85,223,166
77,1186569372,Bilim ve Sanat Vakfı,bisavorgtr,tr, Svs -,60,27382,7
78,3376393073,Humeyra,hmyrsl,en,Humeyra Seles,63,172,354
79,572370285,Fatmanur Puytu,nurpuytu,tr,Fatmanur Puytu,79,354,142
80,3892757176,Şehir Araştırmaları,SamSehir,tr, Sehir Sehir,73,2391,60
81,108036479,Ilke Buyukduman,ilkebu,en,Cemile Busra Kaya,75,247,402
82,32660008,reyyan bilge,ReyyanBilge,en, Reyyan Bilge,96,1643,392
83,318006413,Yunus Ali Erol,yunusalierol,tr, Yunus Ali Erol,92,66,130
84,1729299919,Gökhan AK,ak1gokhan,tr,Gokhan Ak,85,362,552
85,2837993698,Resadet Imanov,Imanov_Resadet,en,Resadet Imanov,88,54,63
86,34389603,Emsal Ateş Özdemir,EmsalAtes,en,Asli Ates,67,3289,2330
87,3307936077,Ilke Buyukduman,FigenIlke,en,Figen Simsek,67,94,181
88,209938923,Mustafa Alper Gümüş,malpergumus,tr, Mustafa Alper Gumus,82,63,22
89,3158199343,Şehir Fest,sehirfest,tr, Sehir Destek,76,86,65
90,3193917928,Elif Çelebi,_elifcelebi,en, Elif Çelebi,86,268,268
91,527466706,Üsküdar Üniversitesi,uskudaruni,tr,Sude Karanfil,61,22311,53
92,3084853732,ÖzdeğerlendirmeProje,OzSehirP,tr, Sehir Sehir,73,54,351
93,3134017931,M.S.A.,mertsaydogan,tr,Mert Serkan Aydogan,77,151,194
94,946886773,Mustafa Özel,MustafaOzelden,tr,Mustafa Ozel,85,3895,0
95,1400588754,Abdurrahman Atçıl,aatcil,en,Banu Saatci,82,1183,451
96,2445072732,Yusuf ÇALIŞKAN,Ycaliska10,en, Cengiz Caliskan,67,401,200
97,1537318436,Mehmet Fatih Aysan,mfatihaysan,en, Mehmet Fatih Aysan,82,980,383
98,2827039949,incuba.city,incubacity,en,Ilknur Boyaci,61,651,563
99,2940722500,ŞEHİR Kariyer Mrk.,SehirKariyer,tr, ! Sehir Kariyer,96,618,194
100,2399301541,ŞEHİR UNIBJK,SEHIRUNIBJK,en,Sehir Mun,70,42,25
101,1679916608,Fatma Yılmaz,FatmaYkaraca,tr,Fatma Kahya,70,89,189
102,2529427087,Şehir Cinema TV,SehirCTV,en, Sehir Sehir,73,466,101
103,2235241292,TÜBA,TUBA_TurkBlmAkd,tr,Kubra Turk,63,9998,767
104,2545544532,Şehir İslami İlimler,isifsehir,tr, ! Isif,90,1857,8
105,2355014240,Musion Türkiye,MusionTurkiye,en, Modern Turkiye Arastirmalari,62,115,132
106,843136350,TÜBİTAK TÜSSİDE,tusside,tr,Aisha Ashraf Hussien Hassan,64,1526,175
107,630367566,Alim Arlı,alimarli_,tr, Alim Arlı,78,2651,1482
108,551174114,Sefure D,SefureDO,en, Sefure Davutoglu,79,9424,941
109,344090521,Mehmet AKINCI,AkinciMehmet,tr, Mehmet Akinci,91,189,219
110,2734040880,Şehir SBE,SehirSBE,tr, ! Sehir Universitesi Senatosu,75,494,16
111,533536556,peyamicelikcan,peyamicelikcan,tr, Peyami Çelikcan,93,2234,622
112,2601258594,Efekan Benlier,EfekanBenlier,tr, Efekan Benlier,96,648,206
113,162427198,mehmet aytekin,mhmtaytkn,en, Mehmet Aytekin,78,427,486
114,995806488,Ali Ülker,Ali_Ulker,en, Ali Ulker,89,13885,35
115,205707038,Muhammed Yâsir,MYasirOkumus,tr,Muhammed Yasir Okumus,83,870,297
116,350224188,Ahmet Sefa Toprak,AhmetSToprak,tr,Ahmet Sefa Toprak,83,291,314
117,334139315,Beyza Cengiz,Cengizbeyza,tr, Cengiz Benli,70,641,313
118,621285612,Okursal Başkan,okurerdem,tr, Kubra Erdem,80,628,318
119,377901136,Hakan Bayrak,hakanbayrakk,tr,Hakan Bayrak,92,376,283
120,1249100731,ŞEHİR Postası,Sehir_Postasi,tr, Sehir Postasi,92,165,63
121,107141880,KC,kaancomert4,tr,Kaan Comert,91,240,235
122,1903865407,Türk Sineması Arş.,TSAorgtr,tr, ! Arge,68,18403,1164
123,1979040049,SehirHukuk,Sehir_Law,en, Sehir MBA,67,423,181
124,114288729,Ayşe Perihan,aysepk,tr, ! SEP,90,196,261
125,1040695459,Vuslat🐢,bvuslatcelik,tr,Busra Vuslat Celik,83,367,364
126,1599743678,ŞEHİR TTO,sehirtto,tr,Sehir Go,75,2426,448
127,1666891914,Öğrenci Etkinlikleri,SehirClubs,tr, ! Clubs,90,1394,100
128,165404867,SosyalBilimlerLisesi,sosyalbilimler,tr, Sosyal Bilimler Enstitüsü / Graduate School Of Social Sciences,84,1858,296
129,1524419966,Ferhat Kentel,ferhatkentel,tr, Ferhat Kentel,96,15534,1031
130,608435927,Efe ALTUNTAŞ,Altuntasefe,tr,Muhammed Efe Altuntas,78,254,764
131,1536995378,ŞEHİR Sosyoloji,socsehir,en,Aisec Sehir,74,2992,39
132,443009716,Şehir Sanat Kulübü,sehirsanat,tr, ! Sehir Sanat,95,118,37
133,174415744,sehir edebiyat,sehiredebiyat,en, Sehir'de Bir Yaz,76,2070,287
134,246973630,Nisanur Hekimoğlu,nisanurhekim,en,Nisanur Hekimoglu,83,383,411
135,1110823566,Sehir Library,sehirlibrary,tr, Library,90,911,43
136,611652164,Sami Erdem,konevim,tr, Osman Sevim,67,216,305
137,431649345,ŞehirliOlmakGüzeldir,sehirliolmak,tr,Muhammed Talha Yenisehirlioglu,70,753,44
138,1222491402,Şehir FM,sehir_fm,tr, Sehir FM,88,1018,85
139,98857070,ahmetkahveciler,ahmetkahveciler,tr,Ahmet Kahveciler,97,506,209
140,443551180,ŞEHİR International,irosehir,tr, Sehir Sehir,74,690,32
141,113954902,Ebru Kayaalp,ebrukayaalp,en, Ebru Kayaalp,96,241,280
142,813777150,Mehmet Fatih Uslu,mefuslu,tr,Ece Uslu,67,2854,507
143,797971200,N.  A R D I Ç,NurullahArdic,en, Nurullah Ardic,96,6312,453
144,458521438,Şehir_Münazara,sehir_munazara,tr,Sehir Mun,80,339,111
145,737056442,Şehir ÖğrenciKonseyi,SehirKonsey,tr,Sevgi Kose,67,686,98
146,80641348,~,Baksakal,tr,Feyza Aksakal,79,105,92
147,29043518,Zeynep,zahsenk,en,Ahsen Kotan,77,592,424
148,67318883,Muzaffer Senel,msenel,en,Huseyin Alperen Senel,75,2036,2327
149,618131962,Talha Köse,Talha_Kose1,en, Talha Köse,80,4630,1144
150,392601535,Zeynep Begüm,zbaydin,en,Elif Ozaydin,77,284,94
151,14668733,Ahmet Bulut,kral,en, Engin Deniz Akarli,68,243,62
152,81094202,Serap Saraçlı,serapsaracli,tr, Serap Saraçlı,83,214,352
153,294508085,Eylül,eylulco,tr,Cigdem Eylul Oneren,77,193,588
154,376697378,mustafaozel,Mstfozl,tr,Mustafa Ozel,74,963,605
155,37036731,Omer Celebi,omerclb,en,Omer Celebi,78,527,375
156,175426030,Burak Cimrenli,be__ce,tr, Firuze Mubeccel Akgun,60,567,349
157,405717491,Ahmet Akyol,akyollahmet,tr,Halime Akyol,66,446,218
158,164596213,abdulhalik damar,ahdamar,en, Alev Damar,71,252,210
159,253616057,Ahmet Ademoglu,ahmet_ademoglu,en, Ahmet Ademoglu,93,1332,83
160,68432279,melih bulu,melihbulu,en,Melih Talu,74,1051,145
161,574052737,Şehir Şenlik,sehir_senlik,tr, Sehir Sehir,70,115,0
162,231187264,Mesut Yeğen,mesutyegen,en, Mesut Yeğen,86,39107,1506
163,194475532,Yunus Ugur,uguryunus,en, Yunus Uğur,80,774,143
164,75919854,Abdulhamit Kırmızı,hakirim,en,Fatemeh Ghadiri,69,29955,392
165,239496829,Candan Karlıtekin,Candan_Dost,en,Eda Can,61,4506,192
166,293976465,Gökhan Çetinsaya,cetinsayag,en, Suleyman Cagri Cetinkaya,76,29486,599
167,457209784,Al Sharq Forum,SharqForum,en, ! SAP,60,7839,151
168,846642751672406016,Zeynep Yavuz,zeynebyavuz_,tr,Zeynep Yavuz,83,128,501
169,247397460,seyyidsisman,seyyidsisman,tr,Seyyide Yilmaz,69,321,996
170,757374348,Girişimcilik Dünyası,girisim_dunyasi,tr, ! Isif,68,3759,4969
171,3479194636,İsmail Hakkı,ismailhakkihira,tr,Ismail Hakki Hira,94,196,227
172,778305224771502080,Mehmet Cebeci,MCebeci34,tr, Omer Cebeci,70,164,360
173,292592197,caner,withcaner,tr, ! Writing Center,61,1358,447
174,145410264,Lütfi Şeyban,lutfiseyban,tr, YBS,60,3142,2385
175,4795122919,sena,deginmeler,tr, ! Industrial and Systems Engineering Master's,68,218,118
176,708798097917386756,UniversityTR,University__TR,tr, İstanbul Şehir Üniversitesi İşletme Enstitüsü/ Istanbul Şehir University Graduate School of Business,71,266,1169
177,972967833696112640,AMMAR,AMMAR29781301,en, ! DMARC,54,2,12
178,993091391424167936,YavuzTuna,YavuzTu35087981,en, Yavuz Koc,50,3,24
179,932953867834314752,berkesayılgan,BerkesayLgan,en,Berk Ceylan,78,415,3397
180,990894421532168192,ebb the batshit crazy,notsopyro,tr, ! Info Sosyoloji,60,71,237
181,286253519,BehÇeT ÖZMEN,behcetozmen,tr,Mehmet Ozmen,78,252,985
182,992706070203326465,Mahmud Seyfullah yıldırım,MahmudSeyfulla3,en, ! MLL,60,76,452
183,983651733925777409,Ayşenur,arpaysenur,en,Alpgiray Senduran,72,30,40
184,992797792560144384,Eda Akıllı,Eda7396,tr,Cihan Beyaz96,51,7,36
185,1478087082,Ali Pusâti,AliPusati,tr,Ali Hussain,70,33376,26517
186,925421743476477952,sümeyra,namidigersiz,tr, Hasim Midesiz,64,306,250
187,764190267180257281,Mustafa Kurt,KurtMstfkurt74,tr, Msn -,60,96,776
188,991646008978345984,Ömer,mer14365082,tr, ! HR,45,847,737
189,992114858807250944,Aziz Fatih Günaydın,Azizfatihg34,tr,Aziz  Fatih Gunaydin,71,43,136
190,3599114601,Ziya Dolaş,ZiyaDolas,tr,Ziya Coban,63,49,464
191,992500118661287936,ayşefatma,ayefatm07425134,en, FIT FIT,57,0,12
192,187177186,Hâlis Sünnetçi,hsunnetci,tr,Elif Sunnetci,73,184,450
193,3621093497,Fatma ay,Atsizfa,tr, ! Isif,68,158,284
194,3298652471,adil sarak,AdilSarak,tr,Adil Sava,78,166,1244
195,990496681526415362,C.CEMİL,CCEML2,tr, Firuze Mubeccel Akgun,60,13,139
196,982008403265507329,RoboDragos,robodragos,tr,Souleymane Ouedraogo,57,12,59
197,968955308360871937,Alissa,yazdefteri_,tr, Hande Eris,57,56,70
198,4247969176,...,nebikaya22,tr, Elif Kaya,63,1,1124
199,889167871,Mü,muneminati,tr,Busemin Abik,64,969,104
200,992027043347992576,Aslı👯,Asl15625327,en, AB6_6203 (72),43,0,17
201,2497837876,Zeliha Aytekin,zelihaaytekin_,tr,Alisan Aytekin,71,128,1535
202,2782472034,Gözde🍃,gozzzdeunal,tr,Gozde ?nan,67,1573,861
203,745592474924687360,Fatih Varol,fhvarol2,en,Mustafa Erol,60,26,445
204,978291819481059328,furkan açıkgöz,AckgzFurkan,tr,Cihad Furkan Eliacik,70,53,718
205,300456988,Sefa Şahin,SefaSahinn,tr,Seyma Sahin,76,197,402
206,55514277,Adil Söylemez,AdilSoylemez,tr, ! Isletme,64,80,711
207,986941409109467136,C,C96399730,tr, 1917,45,0,105
208,991551794324140032,BVU - IRO,iro_bezmialem,tr,Irem Diler,61,96,985
209,4767591862,A7kitap,a7kitap,tr, El Kitap,67,277,1016
210,819698605728612356,Şamil Aydın,ayet95,tr,Thabet Nawaf Hayel Tkrory,60,41,994
211,288662819,Hakan Tunç,hakan1897,tr, 1917,68,49,887
212,761773250,Ebubekir Sifil,EbubekirSifil,tr,Ebubekir Tivnikli,73,132427,268
213,1474311786,Ömer AYDIN,omeraydn_,tr,Omer Sayin,74,86,236
214,108339727,Begüm,begumsenolur,tr,Begum Toro,64,282,160
215,308612540,Ada,ferhatyildirim1,tr, Serap Yildirim,76,151,177
216,796398789875691520,rûmeysa,rrevnak,tr,Rena Bakker,66,36,217
217,2762283118,Seher Gülsevinç,sehergulsevinc,tr, ! SEPHER,75,0,47
218,989570894585528320,Cinepoll,Cinepoll1,tr, ! Cib,60,39,562
219,964600926,Elis Yılmaz,elis_yilmaz,tr,Elif Yilmaz,82,1667,851
220,969695776296394752,Ömer Faruk Sarıtoprak,omerfaruks96,tr,Omer Faruk Kose,74,95,591
221,250893025,aktemur,aktemurugur,tr, Nuri Aktemur,74,87,54
222,140215016,Macit Hocaoglu,hocaoglumacit,tr, Macit Kenanoglu,67,66,161
223,452489867,yücel kılınçarslan,KlnarslanYcel,tr,Arslan Ziylan,62,102,199
224,736858349992615936,Yelkenci,yelkenciadam,en,Alper Yelkenci,62,115,2259
225,522640134,Sulhi Can,CanSulhi,tr,Cansu Yalcin,70,41,267
226,483035624,Eşref ŞAHİN,sahinesref,tr,Alper Tunga Sahiner,74,168,745
227,990370738170466304,Hamza Uysal,hamzauysal_,tr,Hamza Uysal,91,7,19
228,990290761974509568,Genc Hareket Rize,genchareketrize,tr, ! Arge,68,35,338
229,1703333792,Nurgul Celik,shinyrose1389,en, Inhouse,64,277,376
230,3151030181,Hamdi Irmak,hamdi_irmak,tr, Hamdi Irmak,91,8577,450
231,953506844936409088,Mehmet Çaba,Mehmet38830021,en,Mehmet Kara73,52,130,419
232,783984247916916740,Vahide Kaboğlu,vahdekbglu,tr,Ahmet Koroglu,61,236,670
233,988309104149061632,meryem,ylmzz13673,tr, 1917,45,36,349
234,2169984630,Ramazan ÜNAL,RAMAZANUNALTR,tr, ! Amazon,75,536,552
235,206154136,ayse didem,aysedidem19,en,Aydin Demir,64,25,335
236,201292749,Hülya Semiz Türkoğlu,hulyasemiz,tr, Yasemin Atagul,64,178,292
237,2783978695,Halil Emrah Macit,isimsizayna,tr, ! Isif,68,577,5000
238,340747535,bilal şenel,blsenel,tr,Sevval Senel,77,288,383
239,975305023918936064,İsmail Hasan,smailHasan4,tr,Ismail Hasan Balaban,82,36,978
240,757887002574516224,Hasan Tekdemir,hasan_tekdemir1,tr, Kadem,72,15,143
241,258941972,Zinharrr,zinharrr,tr,Saleh Zighari,60,41,295
242,2384121535,Furkan,ifurkaneseni,fr,Furkan Kesen,83,303,1452
243,842651605296205825,MD Al Amin Mia,mdalaminmia11_,en,Md Al Amin Mia,79,37,129
244,898172243901022213,Said Daoudi,Sadaoudi22,en,Farzad Aroudi,61,16,295
245,2338749781,Ali Muhip,AliMuhip,tr,Adel Salimullin,68,0,1120
246,821422877278879744,Baran Gunes,BaranGunes24,tr,Baran Gunes,87,30,618
247,989637846565883904,Barbaros Emre Yılmaz,BarbarosEmreYl4,tr, Barbaros Ömeroğlu,71,12,51
248,103621750,enise🦋,hazirancicegi14,tr, ! Cib,60,146,156
249,912701730630115329,Deer Observer,observerdeer,en,Erdem Er,68,1,151
250,3433472179,ٰ𝕙,cakefacehala,en,Cagla Akcay,58,2299,836
251,953713195386048512,Abdulkadir Yılmaz,akadir_yilmaz,tr,Yasir Yilmaz,72,86,507
252,989119446588542978,Psk. Sevde Eskici,PskSevdeEskici,en, Svs -,60,36,140
253,988859741299531777,Serdal Terzi,terzi_serdal,en,Ezgi Serdar,70,44,468
254,84912086,E.,1sairbisikletle,tr, ! Isif,68,3725,902
255,2285800772,Serkan Can,serkancanmf,en, ! Dekan,72,9,121
256,819530141114187776,InTraders Academic Platform,Intradersorg,tr, Intranet -,68,902,4431
257,131206451,Zeynep Çavuşoğlu,zepcavusoglu,en,Naciye Zeynep Cavusoglu,83,149,100
258,986654758483189761,İstiklâl Ya İstikbal,YaIstikbal,tr,Yasir Bali,70,530,4579
259,297632835,Leen,Leen_Nabil,en,Ceren Naz Cil,61,340,576
260,988864575696228353,BitDegree,bitdegreer_org,en,Qbit .,68,8,54
261,297586848,Cansu,cansugkalp,tr,Cansu Keles,67,227,489
262,988851084377673729,Kara Göz,KaraGz26091054,tr, ! Arge,68,10,96
263,2375808685,bülent eren sevin.,bulenteren17,tr, ! ENTP,68,155,123
264,947098787079753729,bendenadamolmaz,bendenadamolrmu,en, ! MLL,60,9,71
265,276269675,M. Fatih Çalışır,mfatihcalisir,tr,Fatih Tali,70,91,63
266,4733506648,Erdal_Cesar,erdal_cesar,tr, Ches,68,154,100
267,143206090,ahmet çöğen,ahmetcogen,tr,Ahmet Ozmen,76,133,499
268,988760897341612033,احمد,ICaog8Ulo5RDDgS,ar,Lucas Ulor,54,11,89
269,988437587684622338,Nurcan,Nurcan50159990,en,Nuh Can,64,6,190
270,988612178818355200,مريم الحسين,IVnzY4Bxbb8qTUb,ar, YBS,60,7,117
271,988549870389727237,Veysel Akyürek,VeyselAkyrek1,tr, EBYS,68,8,71
272,988539584916213760,Ayșe Kültepe,KultepeAyse,en, EBYS,68,24,74
273,333528691,Betül HURMA,betulhurma,tr,Betul Hurma,95,371,116
274,2951553904,Nurefşan Kaya,Nrfsnky_,tr, Msn -,60,77,117
275,922434031945420800,Mesut Emül,MesutEml2,tr,Resul Temel,70,143,3050
276,90496130,Lider_İK,Lider_ik,tr, Şehir Liderlik,79,2262,932
277,108279066,Oblomov,merdemx,tr,Sevim Erdem,77,63,601
278,988205768712380416,تقي عبدالعزيز,xgyndgxfefl0261,tr, ! Arge,45,7,98
279,417371408,Taha Çağlaroğlu,tahacaglaroglu,tr,Abdullah Taha Colakoglu,71,954,325
280,88154589,Akıl ve bilimle sorgula,freemayk,tr,Gorkem Ay,59,0,3184
281,969519233284624385,Hüya,Hya70576908,tr, ! HR,45,33,238
282,362817784,unikoç,unikocnet,tr, Husniye Koc,60,1553,220
283,152643835,sacit yılmaz,yanlizkurt08,en,Yasemin Kurt,58,30,100
284,987749029927940096,Karizma 7834,7834Karizma,tr, ! Kaib,68,27,335
285,165804126,Kızıl Elma,MCelebizade,tr,Onder Celebi,66,11263,10331
286,911916893681930242,lawand,lawand963,ar, ! Law-All,50,13,290
287,871924401855500288,ebu psiko,ebu_psiko,tr, !Info_psikoloji,60,136,175
288,983437934765502464,Hacer,HacerHamdioglu,tr,Hatice Piroglu,64,97,505
289,784090238310285313,Sefer Yağcı,seferyagci,tr, ! Cib,72,731,3463
290,987710420780756993,Macit Alay,AlayMacit,tr,Furkan Aslamaci,74,2,60
291,987700378333523970,Metin Korkut,MetinKo52469576,tr,Metin Ak,68,5,230
292,987681609309663233,12345678910ابو ملاك الرقاوي,2DMutDVeTu8iFxA,ar, Merve Ntounia,50,9,67
293,987682128375832578,Mustafa Doğan Ticaret,MustafaDoanTic2,tr,Mustafa Dogan,79,5,222
294,964599868806148096,kıvırcık fil,oylesinefil,tr, Msn -,60,86,155
295,711615113808232449,Education in Turkey,Education_in_TR,tr, ! Reception,60,88,244
296,987626667534438400,mehmet,mehmett3212,tr,Mehmet Tas,67,2,70
297,874363918499622912,CTEMİZCAN,ctmzcn,tr,Neslihan Tezcan,60,99,421
298,930093826596900867,Süleyman özer,Sleyman46384228,en, Msn -,60,9,110
299,987584977465479168,Cafer Neöngay,CaferNeongay,tr, Ceren Dayi,64,2,69
300,4877323623,KAZM_KARABEKIR_MH,kzmkarabekirmah,tr,Ege Karabekir,64,611,3027
301,927103668125609984,malik ekicim,malikekicim,tr,Malik Ismail Ekicim,74,5,98
302,1566093012,Uyvar önünde Türk,kaderebakkkk,en-gb, Kadem,72,499,349
303,3588783562,عبد القادر زينو,abdulkader_zn,ar,Abdulkader Mokran,73,520,168
304,984838210781106176,ömer,mer65466733,en, ! HR,45,21,189
305,987356250152275969,Gül Yildirim,GlYildirim18,tr,Burcu Meral Yildirim,74,5,186
306,987344654562676736,Selim Kutluhan,fenerbahce07d,tr,Feyzanur Bagce,59,5,62
307,987279292454318080,Ali Köse,AliKse34054213,tr, ! SEP,60,9,62
308,987251405487566848,سهيل عبدالمجيد,azmzgkzw7854dx,en, BK,45,3,108
309,518465102,Ersin Ergün,ersinergun83,en,Ersin Hatun,61,9,227
310,3600650116,Hassan khyara,HKhyara,tr, Emrah Karabulut,64,38,46
311,475038671,Murat ÇÖREKCİ,By_Murat37,tr,Murat Boz,60,455,1215
312,232127588,Erkan*,erkanyn,tr,Anil Berkan Yaman,77,442,2393
313,987047131331559424,alperen sins,AlperenSins678,tr, ! PIN6,68,4,63
314,4452135141,EFSAH,kitabimbenim1,tr, FIT FIT,57,94,1854
315,938822176807022592,Erbay Yuksel,ErbayYuksel3,tr,Mediha Yuksel,64,10,197
316,986951904713469952,sönmez karakoç,KarakocSonmez,en, ! Some,68,8,73
317,986932472666521601,Mohammad0539 @gmailcom 05396255731,Mohammad0539gm3,ar,Mochammad Pratama,56,21,102
318,3316100309,emine kırış,eminekr3,tr,Emine Akgure,70,19,186
319,550364562,yvz,yavuztan6,tr,Yavuz Kanbur,67,280,551
320,1523170788,MUSTAFA AKBAŞ,MUSTAFAAKBAS78,tr, Mustafa Aksu,77,175,372
