id,followers_count,friends_count,is_org,lang,match_name,match_ratio,name,screen_name,truncated_id,community
134147274.0,322.0,596.0,False,tr,maral cankaya,96.0,maral çankaya,meraldegilmaral,134147274,1
3753440423.0,51.0,119.0,False,ar, abdulkader badlah,97.0,abdulkaderBadlah,abdulkaderbadla,375344042,1
3386137895.0,56.0,60.0,False,en, elif sezer,100.0,Elif Sezer,el_sezer,338613789,1
8.61931997061e+17,15.0,90.0,False,tr,ferhat basboga,100.0,Ferhat basboga,basbogaferhat,861931997,1
861384775.0,135.0,223.0,False,tr,ali cetinkaya,96.0,Ali Çetinkaya,alicetinkaya12,861384775,1
9.40130879145e+17,2.0,124.0,False,tr, suleyman ekici,100.0,SULEYMAN Ekici,SULEYMANEKICI11,940130879,1
2787503142.0,688.0,983.0,False,tr,ahmet orhan,100.0,ahmet orhan,enyorum,278750314,1
237290209.0,13.0,52.0,False,tr,aliagha huseynli,100.0,Aliagha Huseynli,Schizophrenic72,237290209,1
378589207.0,230.0,206.0,False,tr,merve durmus,100.0,Merve Durmus,_MerveDurmus,378589207,1
2837993698.0,54.0,63.0,False,en,resadet imanov,100.0,Resadet Imanov,Imanov_Resadet,283799369,1
1570652671.0,1.0,27.0,False,tr, nuri aktemur,100.0,Nuri Aktemur,NuriMyn,157065267,1
7.62683270966e+17,46.0,57.0,False,tr,hanife merve catan,97.0,Hanife Merve Çatan,hanifecatan,762683270,1
260874526.0,32.0,83.0,False,en,veysi furkan bisen,100.0,Veysi Furkan Bisen,Veysi_Furkan,260874526,1
7.9595908062e+17,58.0,103.0,False,en,abbas kutay,100.0,Abbas KUTAY,medineliak,795959080,1
2459079670.0,271.0,663.0,False,tr,fatma korkut,100.0,fatma korkut,parlanay,245907967,1
3093872810.0,55.0,160.0,False,tr,zeynep koyuncu,100.0,Zeynep Koyuncu,zeynepkoyuncu_,309387281,1
508905512.0,396.0,461.0,False,tr,eda uysal,100.0,Eda Uysal,jbedajb99,508905512,1
180628720.0,106.0,1244.0,False,tr,enes temel,100.0,Enes Temel,EnsTml,180628720,1
522417267.0,60.0,230.0,False,tr,furkan sefer,100.0,furkan sefer,FurkanSefer,522417267,1
3376596665.0,386.0,244.0,False,tr,mucahit kavaz,96.0,Mücahit Kavaz‼️,mchtkavaz,337659666,1
3124424271.0,695.0,374.0,False,tr, pervin somer,96.0,PervinSomer,ProfPervinSomer,312442427,1
1058091331.0,670.0,233.0,False,tr, hatice aynur,100.0,Hatice Aynur,haticeaynurr,105809133,1
2399809336.0,297.0,188.0,False,tr, ! amazon,100.0,Amazon,illybastug,239980933,1
2203396100.0,302.0,451.0,False,tr,fatih kabas,100.0,Fatih Kabas,FthKbs,220339610,1
378511292.0,154.0,181.0,False,tr,adil sava,100.0,adil sava,Support91000048,378511292,1
139032492.0,291.0,287.0,False,en,dilara boyraz,100.0,Dilara Boyraz,dilaraboyraz,139032492,1
503254088.0,25.0,45.0,False,tr,seda tosun,100.0,seda tosun,SedaTosun97,503254088,1
